,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs
96,LC,2,30/09/2014,5,58,150,3,18:00:00,18:40:00,18:25:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,danae,210,sobre hoja,cantando,1.9,25.9,0,no tiene fotos,2Bd069,no,
97,LC,2,30/09/2014,5,58,150,,18:00:00,18:40:00,18:40:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,ockendeni,50,sobre hoja ,alerta,1.8,31.2,0,no tiene fotos,2Bd070,no,
98,LC,2,30/09/2014,5,58,150,,18:00:00,18:40:00,18:35:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,danae,70,sobre hoja de una herbacea,cantando,1.75,28.1,0,no tiene fotos,2Bd071,no,
99,LC,2,29/09/2014,4,10,1000,,18:00:00,18:40:00,18:30:00,8563599,281674,792,19L,Craugastoridae,Pristimantis,danae,1.2,sobre hoja de palmera seca,cantando,1.4,27.6,0,no tiene fotos,2Bd063,no,canto grabado
100,LC,2,29/09/2014,4,10,1000,,18:00:00,18:40:00,18:10:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,ockendeni,170,sobre hoja,activo,0.4,18,0,no tiene fotos,2Bd062,no,
101,LC,2,29/09/2014,4,10,1000,3,18:00:00,18:40:00,18:08:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,ockendeni,140,sobre hoja,activo,0.35,16.7,0,no tiene fotos,2Bd060,no,
102,LC,2,29/09/2014,4,10,1000,,18:00:00,18:40:00,18:05:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,ockendeni,150,sobre tronco de un arbol delgado,activo,0.35,18,0,no tiene fotos,2Bd061,no,
103,LC,2,10/6/14 00:00,11,34,500,,18:00:00,18:30:00,18:28:00,desconocido,desconocido,desconocido,19L,Leptodactylidae,Adenomera,andreae,0,en hojarasca,saltando,1.25,23.5,0,no tiene fotos,2Bd134,no,sin lineas
104,LC,2,10/6/14 00:00,11,34,500,4,18:00:00,18:30:00,18:28:00,8563214,282032,911,19L,Craugastoridae,Pristimantis,ockendeni,180,sobre hoja,cantando,1.25,24.7,0,no tiene fotos,2Bd130,no,
105,LC,2,10/6/14 00:00,11,34,500,,18:00:00,18:30:00,18:21:00,desconocido,desconocido,desconocido,19L,Leptodactylidae,Adenomera,andreae,0,en hojarasca,cantando,1.05,22.4,0,no tiene fotos,2Bd133,no,sin lineas
106,LC,2,10/6/14 00:00,11,34,500,,18:00:00,18:30:00,18:06:00,8563211,282037,912,19L,Craugastoridae,Pristimantis,gagliardi,50,en hoja de bromelia,atento,0.65,18.4,0,no tiene fotos,2Bd131,no,
107,LC,2,10/6/14 00:00,11,34,500,,18:00:00,18:30:00,18:01:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,gagliardi,40,sobre hoja,amplexus,0.6,18.4,0,no tiene fotos,2Bd136,no,
108,LC,2,10/6/14 00:00,11,34,500,,18:00:00,18:30:00,18:30:00,8563211,282037,912,19L,Craugastoridae,Pristimantis,ockendeni,150,en hoja,alerta,0.35,16.5,0,no tiene fotos,2Bd132,no,
109,LC,2,10/6/14 00:00,11,34,500,,18:00:00,18:30:00,18:01:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,gagliardi,40,sobre hoja,amplexus,0.25,11.7,0,no tiene fotos,2Bd135,no,
110,AB,5,16/7/2016,8,42,250,6,18:00:00,18:20:00,18:21:00,282120,8562918,958,19L,Bufonidae,Rhinella,gr margaritifera,1,Tronco,Trepando,6.34,41.6,,,5Bd132,,
